manufacturer;name;category;product_url;price;image_url;description;sku;currency;stock;ProductWeight;identifier;net_price
"Budapesti Kertimag";"TARLÓRÉPA 50GR";"Vetőmag > Takarmánynövény";https://www.online-gazda.hu/tarlorepa-50gr_p6;280;https://www.online-gazda.hu/img/products//medium/TARLOREPA_50GR.jpg;"&nbsp; &nbsp; &nbsp;Tarlórépa Másodvetésű növény. Vetés: jún.-aug. Répája és lombja takarmányozásra alkalmas. Kellemes édeskés íze miatt étkezési célra is termesztik. Fogyasztható nyersen, párolva köretként. Fagytűrő növény. Késő őszig földben maradhat. Vetőmagigény: 4kg/ha&nbsp;";3030;HUF;0.00;"50 g";6;220
"Móratrade-Ker Kft.";"CSIBE ÖNETETŐ KÚPOS 5LIT DB";Állattartás;https://www.online-gazda.hu/csibe-oneteto-kupos-5lit-db_p7;750;https://www.online-gazda.hu/img/products//medium/CSIBE_ONETETO_KUPOS_5LIT_DB.jpg;"Műanyag felakasztható 5 L-s csirke önetető. Bajonett záras. Gravitációs elven működő. Mérete: 25 x 25 cm. Magassága: 27 cm";2949;HUF;0.00;"400 g";7;591
Farmo;"METSZŐOLLÓ  P 20CM 473CS DB";"Szerszám > Olló, metszőolló";https://www.online-gazda.hu/metszoollo-p-20cm-473cs-db_p8;1950;https://www.online-gazda.hu/img/products//medium/METSZOOLLO_P_20CM_473CS_DB.JPG;"Metszőolló 20cm P típusú Műanyag ergonomikus nyél";2974;HUF;0.00;"250 g";8;1535
Bradas;"GYORSCSATLAKOZÓ 3/4"" BM BRADAS DB";"Öntözés technika > Toldó, Csatlakozó";https://www.online-gazda.hu/gyorscsatlakozo-3-4-bm-bradas-db_p9;110;https://www.online-gazda.hu/img/products//medium/GYORSCSATLAKOZO_3_4_BM_BRADAS_DB.jpg;;2982;HUF;0.00;"30 g";9;87
Motip;"FÉKTISZTíTÓ SPRAY MOTIP 500ML";"Motorolaj > Kenőanyagok";https://www.online-gazda.hu/fektisztito-spray-motip-500ml_p14;740;https://www.online-gazda.hu/img/products//medium/FEKTISZTiTO_SPRAY_MOTIP_500ML.png;"Eltávolítja az olaj, zsír, fékfolyadék és egyéb szennyezõdéseket a fékdobról, fékhengerekrõl, féktárcsákról és a kuplung alkatrészeirõl.&nbsp;  Megszünteti a féknyikorgást és maradvány nélkül tisztítja a motor- és gépalkatrészeket.&nbsp;  A gumi és a műanyag valamint a festett alkatrészeket károsíthatja.&nbsp;  Felhasználási terület: fékrendszerek, motor- és gépalkatrészek tisztítása.&nbsp;";3023;HUF;0.00;"500 g";14;583
"Rijk Zwaan";"KARALÁBÉ UKZA RZ F1 PREC 2500 szem";"Vetőmag > Profi zöldségfélék";https://www.online-gazda.hu/karalabe-ukza-rz-f1-prec-2500-szem_p15;14000;https://www.online-gazda.hu/img/products//medium/KARALABE_UKZA_RZ_F1_PREC_2500_szem_5def6a8106205.jpg;"&nbsp; &nbsp;Ukza RZ F1 Új,lila fajta. Íze és belső minősége szinte megegyezik a fehér karalábé prémium minőségével. Levél és a gumó felszíne erősen viaszolt, betegségekre nem fogékony. Gumója ízletes, fásodásra és repedésre nem hajlamos. Ültetése áprilistól augusztus végéig szabadföldi termesztésre.&nbsp;";3024;HUF;0.00;"80 g";15;11024
"GBBR Békéscsaba Kft.";"BORSÓ ZSUZSI 250g";"Vetőmag > Zöldség";https://www.online-gazda.hu/borso-zsuzsi-250g_p17;270;https://www.online-gazda.hu/img/products//medium/BORSO_ZSUZSI_250g.JPG;"&nbsp; &nbsp; &nbsp; Zsuzsi Késői érésű, nagy szemű,elhúzódó virágzású és érésű fajta. Kifejezetten friss fogyasztásra javasolt. Hüvelyei nagyok, 9-11 nagy méretű maggal. Középmagas növekedésű, szára erős,vastag. Szárazságtűrése jó.&nbsp;";3033;HUF;0.00;"250 g";17;213
"Hedera bt.";"LEVÉLFÉNY SPRING 0.6L";"Növényvédő szer > Egyéb szerek és adalékok";https://www.online-gazda.hu/levelfeny-spring-0-6l_p18;1170;https://www.online-gazda.hu/img/products//medium/LEVELFENY_SPRING_0_6L.JPG;"A szer 17,5 % hatóanyagot tartalmazó levélfényesítő spray. Felhasználható: szobai és szabadföldi levéldísznövények fényesítésére. A szert szoba-hőmérsékleten, a flakont fejével felfelé tartva kb 35 cm távolságról egyenletesen permetezzük a növény levelére a levelek teljes borítottságáig. Csak száraz, felületű növényekre permetezzük. Havonta ismételjük meg a kezelést. Ne használjuk erős napsütésben és ne permetezzük a nyitott virágokra. lakásban a készítmény nem használható, a kezelés csak szabad térben (balkon, erkély, udvar) végezhető, ügyelve arra, hogy a szer kizárólag a kezelésre szánt felületre kerüljön. A kezelés után csak egy óra múlva vigyük zárt térbe a növényeket.";3036;HUF;0.00;"700 g";18;921
"Canaswiss Kft.";"SEPTONIC 12DB-OS 0.213KG";"Egyéb > Háztartási vegyiáru";https://www.online-gazda.hu/septonic-12db-os-0-213kg_p19;1750;https://www.online-gazda.hu/img/products//medium/SEPTONIC_12DB_OS_0_213KG.jpg;"A Septonic biológiai aktivátor csak biológiailag hasznos baktériumokat, enzimeket tartalmaz, melyek elősegítik az emésztőrendszerek zavartalan működését. Felbontják a szennyvízben lévő szilárd anyagokat, megszüntetik a kellemetlen szagokat, feloldják a zsírokat. A Septonic por használata során feloldódnak a csőrendszerben, emésztőgödörben korábban keletkezett lerakódások, megszűnnek a kellemetlen szagok, dugulások, zsírosodások. Használata egyaránt javasolt csatornázott háztartásokban a dugulások megelőzésére, megszüntetésére, lefolyóvezetékek tisztán tartására, karbantartására, megszüntetésére, valamint csatornázatlan területen az emésztőgödrök, pottyantós és mobil WC-k szennyvizének kezelésére. &nbsp;";3037;HUF;0.00;"300 g";19;1378
Duna-r;"PAPRIKA BÍBIC F1 250SZ";"Vetőmag > Profi zöldségfélék";https://www.online-gazda.hu/paprika-bibic-f1-250sz_p20;3350;https://www.online-gazda.hu/img/products//medium/PAPRIKA_BIBIC_F1_250SZ.jpg;"Bíbic F.1 | 250&nbsp;szem | paprika vetőmag. Folytonnövő, csüngő, fehér, sima, édes, nyújtott és szabályos blocky alakú, vastag húsú, 3-4 rekeszű hibrid. A termés tömege 120-160 g, szedéséretten fehér, teljesen beérve piros. Középerős növekedésű fajta. Erős, vastag vázágat és gyökérzetet nevel. Egy vagy két szálra metszve, illetve kordon mellett metszetlenül termelhető legeredményesebben. Hajtatható fűtött és fűtetlen termesztő berendezésben, kiültetése március közepétől július közepéig javasolt. Hajtatásban 4-4,5, szabadföldön 5-6 tövet ültessünk nm-ként. A Bíbic F1 szabadföldön nagyon jó és egyenletes minőségű, exportra alkalmas termést ad. Könnyen szállítható, sokáig pulton tartható. A termelők és fogyasztók, s káposztával jól tölthető lévén a konzervgyárak kedvelt fajtája is lehet. &nbsp;";3038;HUF;0.00;"20 g";20;2638
